Timestamp,Generation,AliveCount,AvgLength,MaxLength,Aggressiveness
2025-12-28 18:08:14,2900,11,1.18,11,0.1818
2025-12-28 18:08:14,2908,13,1.38,11,0.3077
2025-12-28 18:08:14,2912,19,1.32,11,0.1579
2025-12-28 18:08:14,2917,14,1.14,11,0.0714
2025-12-28 18:08:14,2920,11,1.27,11,0.0000
2025-12-28 18:08:14,2924,17,1.00,11,0.1176
2025-12-28 18:08:14,2933,18,1.00,11,0.1667
2025-12-28 18:08:14,2941,10,1.00,11,0.3000
2025-12-28 18:08:14,2950,11,1.45,11,0.0000
2025-12-28 18:08:14,2954,17,1.53,11,0.1176
2025-12-28 18:08:14,2958,13,1.77,11,0.1538
2025-12-28 18:08:14,2964,17,1.41,11,0.0588
2025-12-28 18:08:14,2967,14,1.36,11,0.2143
2025-12-28 18:08:14,2974,17,1.18,11,0.1765
2025-12-28 18:08:14,2982,19,1.16,11,0.2632
2025-12-28 18:08:14,2986,15,1.20,11,0.2667
2025-12-28 18:08:14,2992,19,1.11,11,0.1053
2025-12-28 18:08:14,3001,10,1.20,11,0.2000
2025-12-28 18:08:14,3007,14,1.21,11,0.3571
2025-12-28 18:08:14,3013,18,1.11,11,0.0556
2025-12-28 18:08:14,3018,13,1.23,11,0.0000
2025-12-28 18:08:14,3023,18,1.28,11,0.1111
2025-12-28 18:08:14,3029,12,1.17,11,0.0000
2025-12-28 18:08:14,3033,18,1.11,11,0.1667
2025-12-28 18:08:14,3039,12,1.17,11,0.2500
2025-12-28 18:08:14,3048,13,1.15,11,0.1538
2025-12-28 18:08:14,3050,11,1.27,11,0.1818
2025-12-28 18:08:14,3060,11,1.64,11,0.1818
2025-12-28 18:08:14,3066,15,1.53,11,0.2667
2025-12-28 18:08:14,3070,11,1.82,11,0.3636
2025-12-28 18:08:14,3078,13,1.85,11,0.0000
2025-12-28 18:08:14,3080,11,1.73,11,0.0909
2025-12-28 18:08:14,3084,17,1.18,11,0.1765
2025-12-28 18:08:14,3090,11,1.36,11,0.1818
2025-12-28 18:08:14,3096,15,1.33,11,0.1333
2025-12-28 18:08:14,3103,18,1.22,11,0.1667
2025-12-28 18:08:14,3107,14,1.29,11,0.0714
2025-12-28 18:08:14,3111,10,1.50,11,0.2000
2025-12-28 18:08:14,3116,15,1.27,11,0.2000
2025-12-28 18:08:15,3121,10,2.00,11,0.3000
2025-12-28 18:08:15,3129,12,1.67,11,0.1667
2025-12-28 18:08:15,3134,17,1.59,11,0.2353
2025-12-28 18:08:15,3141,10,1.90,11,0.3000
2025-12-28 18:08:15,3146,15,1.60,11,0.2000
2025-12-28 18:08:15,3152,19,1.37,11,0.1053
2025-12-28 18:08:15,3156,15,1.27,11,0.2000
2025-12-28 18:08:15,3164,17,1.24,11,0.2941
2025-12-28 18:08:15,3171,10,1.60,11,0.2000
2025-12-28 18:08:15,3177,14,1.50,11,0.0714
2025-12-28 18:08:15,3184,17,1.47,11,0.1176
2025-12-28 18:08:15,3186,15,1.67,11,0.2667
2025-12-28 18:08:15,3191,10,1.90,11,0.1000
2025-12-28 18:08:15,3197,14,1.50,11,0.1429
2025-12-28 18:08:15,3202,19,1.37,11,0.1579
2025-12-28 18:08:15,3207,14,1.57,11,0.0714
2025-12-28 18:08:15,3212,19,1.42,11,0.0526
2025-12-28 18:08:15,3217,14,1.71,11,0.1429
2025-12-28 18:08:15,3221,10,2.00,11,0.0000
2025-12-28 18:08:15,3228,13,1.62,11,0.0769
2025-12-28 18:08:15,3234,17,1.41,11,0.1176
2025-12-28 18:08:15,3240,11,1.64,11,0.1818
2025-12-28 18:08:15,3247,14,1.57,11,0.0714
2025-12-28 18:08:15,3248,13,1.77,11,0.1538
2025-12-28 18:08:15,3255,16,1.62,11,0.0625
2025-12-28 18:08:15,3260,11,1.82,11,0.0909
2025-12-28 18:08:15,3264,17,1.59,11,0.1765
2025-12-28 18:08:15,3272,19,1.53,11,0.1053
2025-12-28 18:08:15,3276,15,1.47,11,0.1333
2025-12-28 18:08:15,3281,10,1.40,11,0.3000
2025-12-28 18:08:15,3289,12,1.42,11,0.2500
2025-12-28 18:08:15,3295,16,1.38,11,0.1875
2025-12-28 18:08:15,3300,11,1.36,11,0.1818
2025-12-28 18:08:15,3307,14,1.14,11,0.1429
2025-12-28 18:08:15,3311,10,1.40,11,0.1000
2025-12-28 18:08:15,3316,15,1.53,11,0.2000
2025-12-28 18:08:15,3323,18,1.50,11,0.1111
2025-12-28 18:08:15,3327,14,1.57,11,0.1429
2025-12-28 18:08:15,3330,11,1.91,11,0.0909
2025-12-28 18:08:15,3332,19,1.68,11,0.0526
2025-12-28 18:08:15,3338,13,2.08,11,0.0000
2025-12-28 18:08:16,3340,11,2.18,11,0.1818
2025-12-28 18:08:16,3347,14,1.79,11,0.1429
2025-12-28 18:08:16,3351,10,2.60,11,0.2000
2025-12-28 18:08:16,3356,15,1.93,11,0.2000
2025-12-28 18:08:16,3363,18,1.72,11,0.0556
2025-12-28 18:08:16,3366,15,1.87,11,0.0667
2025-12-28 18:08:16,3371,10,2.30,11,0.0000
2025-12-28 18:08:16,3373,18,1.72,11,0.2222
2025-12-28 18:08:16,3379,12,1.75,11,0.3333
2025-12-28 18:08:16,3383,18,1.56,11,0.3889
2025-12-28 18:08:16,3389,12,1.75,11,0.1667
2025-12-28 18:08:16,3395,16,1.62,11,0.3750
2025-12-28 18:08:16,3400,11,1.82,11,0.3636
2025-12-28 18:08:16,3407,14,1.50,11,0.1429
2025-12-28 18:08:16,3411,10,1.70,11,0.0000
2025-12-28 18:08:16,3414,17,1.24,11,0.3529
2025-12-28 18:08:16,3422,19,1.16,11,0.2105
2025-12-28 18:08:16,3429,12,1.17,11,0.2500
2025-12-28 18:08:16,3437,14,1.00,11,0.1429
2025-12-28 18:08:16,3442,19,1.16,11,0.3158
2025-12-28 18:08:16,3449,12,1.17,11,0.2500
2025-12-28 18:08:16,3457,14,1.21,11,0.1429
2025-12-28 18:08:16,3461,10,1.30,11,0.1000
2025-12-28 18:08:16,3467,14,1.29,11,0.2857
2025-12-28 18:08:16,3472,19,1.21,11,0.1579
2025-12-28 18:08:16,3476,15,1.47,11,0.0667
2025-12-28 18:08:16,3482,19,1.26,11,0.2105
2025-12-28 18:08:16,3487,14,1.21,11,0.2143
2025-12-28 18:08:16,3496,15,1.13,11,0.0667
2025-12-28 18:08:16,3501,10,1.20,11,0.1000
2025-12-28 18:08:16,3507,14,1.14,11,0.2143
2025-12-28 18:08:16,3514,17,1.06,11,0.0588
2025-12-28 18:08:16,3517,14,1.14,11,0.2143
2025-12-28 18:08:16,3523,18,1.44,11,0.1667
2025-12-28 18:08:16,3527,14,1.86,11,0.2143
2025-12-28 18:08:16,3537,14,1.79,11,0.1429
2025-12-28 18:08:16,3539,12,1.67,11,0.2500
2025-12-28 18:08:16,3543,18,1.22,11,0.1111
2025-12-28 18:08:16,3548,13,1.23,11,0.0769
2025-12-28 18:08:16,3550,11,1.18,11,0.0000
2025-12-28 18:08:16,3557,14,1.14,11,0.0714
2025-12-28 18:08:17,3560,11,1.09,11,0.0909
2025-12-28 18:08:17,3568,13,1.38,11,0.1538
2025-12-28 18:08:17,3576,15,1.27,11,0.2000
2025-12-28 18:08:17,3582,19,1.11,11,0.1053
2025-12-28 18:08:17,3586,15,1.20,11,0.2000
2025-12-28 18:08:17,3589,12,1.08,11,0.0000
2025-12-28 18:08:17,3598,13,1.31,11,0.1538
2025-12-28 18:08:17,3606,15,1.33,11,0.2000
2025-12-28 18:08:17,3611,10,1.60,11,0.1000
2025-12-28 18:08:17,3617,14,1.43,11,0.0714
2025-12-28 18:08:17,3622,19,1.16,11,0.1053
2025-12-28 18:08:17,3630,11,1.18,11,0.0909
2025-12-28 18:08:17,3634,17,1.41,11,0.0588
2025-12-28 18:08:17,3638,13,1.38,11,0.0000
2025-12-28 18:08:17,3642,19,1.21,11,0.2105
2025-12-28 18:08:17,3650,11,1.64,11,0.1818
2025-12-28 18:08:17,3655,16,1.19,11,0.1875
2025-12-28 18:08:17,3657,14,1.36,11,0.2143
2025-12-28 18:08:17,3666,15,1.27,11,0.1333
2025-12-28 18:08:17,3671,10,1.40,11,0.2000
2025-12-28 18:08:17,3675,16,1.25,11,0.2500
2025-12-28 18:08:17,3681,10,1.10,11,0.1000
2025-12-28 18:08:17,3690,11,1.18,11,0.2727
2025-12-28 18:08:17,3696,15,1.00,11,0.2000
2025-12-28 18:08:17,3701,10,1.10,11,0.3000
2025-12-28 18:08:17,3707,14,1.43,11,0.2143
2025-12-28 18:08:17,3713,18,1.28,11,0.2222
2025-12-28 18:08:17,3716,15,1.53,11,0.2667
2025-12-28 18:08:17,3723,18,1.22,11,0.2222
2025-12-28 18:08:17,3727,14,1.50,11,0.3571
2025-12-28 18:08:17,3733,18,1.28,11,0.0000
2025-12-28 18:08:17,3736,15,1.20,11,0.1333
2025-12-28 18:08:17,3745,16,1.25,11,0.1875
2025-12-28 18:08:17,3753,18,1.11,11,0.2778
2025-12-28 18:08:17,3756,15,1.20,11,0.2667
2025-12-28 18:08:17,3763,18,1.11,11,0.1667
